Kraj;Sprzedawca;Data zamowienia;idZamowienia;Utarg;Rok
Polska;King;21.01.2005;10777;224.0;2005
Niemcy;Leverling;14.01.2005;10779;1335.0;2005
Niemcy;Davolio;19.01.2005;10788;731.5;2005
Polska;Sowiński;01.01.2005;10791;1829.76;2005
Niemcy;Leverling;08.01.2005;10793;191.1;2005
Polska;Sowiński;02.01.2005;10794;314.76;2005
Niemcy;Callahan;20.01.2005;10795;2158.0;2005
Niemcy;Leverling;14.01.2005;10796;2341.36;2005
Polska;King;05.01.2005;10797;420.0;2005
Niemcy;Fuller;05.01.2005;10798;446.6;2005
Polska;Dudek;05.01.2005;10799;1553.5;2005
Niemcy;Davolio;05.01.2005;10800;1468.93;2005
Niemcy;Peacock;02.01.2005;10802;2942.81;2005
Niemcy;Peacock;06.01.2005;10803;1193.01;2005
Polska;Sowiński;07.01.2005;10804;2278.4;2005
Niemcy;Fuller;09.01.2005;10805;2775.0;2005
Niemcy;Leverling;05.01.2005;10806;439.6;2005
Niemcy;Peacock;30.01.2005;10807;18.4;2005
Niemcy;Fuller;09.01.2005;10808;1411.0;2005
Polska;King;07.01.2005;10809;140.0;2005
Niemcy;Fuller;07.01.2005;10810;187.0;2005
Niemcy;Callahan;08.01.2005;10811;852.0;2005
Polska;Kowalski;12.01.2005;10812;1692.8;2005
Niemcy;Davolio;09.01.2005;10813;602.4;2005
Niemcy;Leverling;14.01.2005;10814;1788.45;2005
Niemcy;Fuller;14.01.2005;10815;40.0;2005
Niemcy;Peacock;04.02.2005;10816;8446.45;2005
Niemcy;Leverling;13.01.2005;10817;10952.84;2005
Polska;King;12.01.2005;10818;833.0;2005
Niemcy;Fuller;16.01.2005;10819;477.0;2005
Niemcy;Leverling;13.01.2005;10820;1140.0;2005
Niemcy;Davolio;15.01.2005;10821;678.0;2005
Polska;Sowiński;16.01.2005;10822;237.9;2005
Polska;Kowalski;13.01.2005;10823;2826.0;2005
Niemcy;Callahan;30.01.2005;10824;250.8;2005
Niemcy;Davolio;14.01.2005;10825;1030.76;2005
Polska;Sowiński;06.02.2005;10826;730.0;2005
Niemcy;Davolio;06.02.2005;10827;843.0;2005
Polska;Dudek;04.02.2005;10828;932.0;2005
Polska;Dudek;23.01.2005;10829;1764.0;2005
Niemcy;Peacock;21.01.2005;10830;1974.0;2005
Niemcy;Leverling;23.01.2005;10831;2684.4;2005
Niemcy;Fuller;19.01.2005;10832;475.11;2005
Polska;Sowiński;23.01.2005;10833;906.93;2005
Niemcy;Davolio;19.01.2005;10834;1432.71;2005
Niemcy;Davolio;21.01.2005;10835;845.8;2005
Polska;King;21.01.2005;10836;4705.5;2005
Polska;Dudek;23.01.2005;10837;1064.5;2005
Niemcy;Leverling;23.01.2005;10838;1938.38;2005
Niemcy;Leverling;22.01.2005;10839;827.55;2005
Niemcy;Peacock;16.02.2005;10840;211.2;2005
Polska;Kowalski;29.01.2005;10841;4581.0;2005
Niemcy;Davolio;29.01.2005;10842;975.0;2005
Niemcy;Peacock;26.01.2005;10843;159.0;2005
Niemcy;Callahan;26.01.2005;10844;735.0;2005
Niemcy;Callahan;30.01.2005;10845;3812.7;2005
Niemcy;Fuller;23.01.2005;10846;1112.0;2005
